KyNangMem,NNLT,QuyMoCongTy,LinhVuc,KhuVuc,NgoaiNgu,KinhNghiem,Luong
QLTG,PB,NHO,FrontEnd,KV1,DV,Senior,>1500
GT,PB,NHO,FrontEnd,KV1,CB,Senior,>1500
QLTG,PB,NHO,,KV1,TT,Senior,>1500
QLTG,PB,NHO,FrontEnd,KV1,KC,Senior,1000-1500
TT,PB,TB,FrontEnd,KV1,KC,Senior,1000-1500
TT,PB,LON,FrontEnd,KV1,KC,Senior,>1500
LVN,PB,LON,FrontEnd,KV2,KC,Senior,
TT,PB,LON,FrontEnd,KV3,KC,Senior,1000-1500
TT,PB,NHO,Mobile,KV1,DV,Senior,>1500
LVN,PB,NHO,Mobile,KV1,CB,Senior,>1500
TT,PB,NHO,Mobile,KV1,TT,Senior,>1500
QLTG,PB,NHO,Mobile,KV1,KC,Senior,1000-1500
QLTG,PB,TB,Mobile,KV1,KC,Senior,1000-1500
GT,PB,LON,Mobile,KV1,KC,Senior,>1500
GT,PB,LON,,KV2,KC,Senior,>1500
QLTG,PB,LON,Mobile,KV3,KC,Senior,1000-1500
GT,PB,NHO,BackEnd,KV1,DV,Senior,>1500
LVN,,NHO,BackEnd,KV1,CB,Senior,>1500
QLTG,PB,NHO,BackEnd,KV1,TT,Senior,>1500
QLTG,PB,NHO,BackEnd,KV1,KC,Senior,1000-1500
GT,PB,TB,BackEnd,KV1,KC,Senior,1000-1500
LVN,PB,LON,BackEnd,KV1,KC,Senior,>1500
LVN,PB,LON,BackEnd,KV2,KC,Senior,>1500
,PB,LON,BackEnd,KV3,KC,Senior,1000-1500
TT,PB,LON,FrontEnd,KV1,DV,Fresher,1000-1500
QLTG,PB,LON,FrontEnd,KV1,TT,Fresher,1000-1500
QLTG,PB,LON,FrontEnd,KV1,CB,Fresher,1000-1500
TT,PB,LON,FrontEnd,KV1,KC,Fresher,1000-1500
GT,PB,NHO,,KV1,KC,Fresher,500-1000
TT,PB,TB,FrontEnd,KV1,KC,Fresher,500-1000
TT,PB,LON,FrontEnd,KV2,DV,Fresher,1000-1500
LVN,PB,LON,FrontEnd,KV2,TT,Fresher,1000-1500
GT,PB,LON,FrontEnd,KV2,CB,Fresher,1000-1500
GT,PB,LON,FrontEnd,KV2,KC,Fresher,1000-1500
QLTG,PB,NHO,FrontEnd,KV2,KC,Fresher,
LVN,PB,TB,FrontEnd,KV2,KC,Fresher,500-1000
TT,PB,LON,FrontEnd,KV3,DV,Fresher,1000-1500
LVN,PB,LON,FrontEnd,KV3,TT,Fresher,1000-1500
TT,PB,LON,FrontEnd,KV3,CB,Fresher,1000-1500
LVN,PB,LON,FrontEnd,KV3,KC,Fresher,1000-1500
LVN,PB,NHO,FrontEnd,KV3,KC,Fresher,500-1000
LVN,PB,TB,FrontEnd,KV3,KC,Fresher,500-1000
LVN,PB,TB,FrontEnd,KV1,CB,Junior,1000-1500
TT,PB,TB,FrontEnd,KV1,KC,Junior,1000-1500
GT,PB,TB,FrontEnd,KV1,TT,Junior,1000-1500
LVN,PB,TB,FrontEnd,KV1,TB,Junior,1000-1500
,PB,TB,FrontEnd,KV2,CB,Junior,1000-1500
GT,PB,TB,FrontEnd,KV2,KC,Junior,1000-1500
QLTG,PB,TB,FrontEnd,KV2,TT,Junior,1000-1500
GT,PB,TB,FrontEnd,KV2,TB,Junior,1000-1500
TT,PB,TB,FrontEnd,KV3,CB,Junior,1000-1500
QLTG,PB,TB,FrontEnd,KV3,KC,Junior,1000-1500
LVN,PB,TB,FrontEnd,KV3,TT,Junior,1000-1500
GT,PB,TB,FrontEnd,KV3,TB,Junior,1000-1500
LVN,PB,TB,BackEnd,KV1,CB,Junior,1000-1500
GT,PB,TB,BackEnd,KV1,KC,Junior,1000-1500
GT,PB,TB,BackEnd,KV1,TT,Junior,1000-1500
TT,PB,TB,BackEnd,KV1,TB,Junior,1000-1500
GT,PB,TB,BackEnd,KV2,CB,Junior,1000-1500
LVN,PB,TB,BackEnd,KV2,KC,Junior,1000-1500
GT,PB,TB,BackEnd,KV2,TT,Junior,1000-1500
GT,PB,TB,BackEnd,KV2,TB,Junior,1000-1500
GT,PB,TB,BackEnd,KV3,CB,Junior,1000-1500
TT,PB,TB,BackEnd,KV3,KC,Junior,1000-1500
LVN,PB,TB,BackEnd,KV3,TT,Junior,1000-1500
GT,PB,TB,BackEnd,KV3,TB,Junior,1000-1500
QLTG,PB,TB,Mobile,KV1,CB,Junior,1000-1500
TT,PB,TB,Mobile,KV1,KC,Junior,1000-1500
QLTG,PB,TB,Mobile,KV1,TT,Junior,1000-1500
TT,PB,TB,Mobile,KV1,TB,Junior,1000-1500
GT,PB,TB,Mobile,KV2,CB,Junior,1000-1500
QLTG,PB,TB,Mobile,KV2,KC,Junior,1000-1500
GT,PB,TB,Mobile,KV2,TT,Junior,1000-1500
