KyNangMem,NNLT,QuyMoCongTy,LinhVuc,KhuVuc,NgoaiNgu,KinhNghiem,Luong
"QLTG,,",PB,TB,"Mobile,BackEnd,FrontEnd",KV2,DV,Senior,>1500
",GT,TT",TB,TB,"Mobile,BackEnd,FrontEnd",KV1,KC,Junior,500-1000
"TT,QLTG,GT",PB,NHO,Developer Option,KV1,DV,Internship,1000-1500
"QLTG,QLTG,",TB,TB,"BackEnd,Mobile",KV3,TT,Junior,500-1000
"GT,TT,LVN",TB,TB,"FrontEnd,Mobile",KV1,CB,Internship,500-1000
"TT,TT,QLTG",TB,LON,Developer Option,KV1,DV,Fresher,1000-1500
"LVN,GT,GT",KPB,TB,FrontEnd,KV2,KC,Fresher,500-1000
"TT,TT,GT",TB,TB,"BackEnd,FrontEnd",KV2,CB,Internship,500-1000
"LVN,LVN,",TB,TB,"FrontEnd,Mobile",KV3,KC,Senior,500-1000
"LVN,QLTG,",TB,TB,Mobile,KV2,KC,Junior,500-1000
",GT,TT",TB,NHO,"BackEnd,FrontEnd",KV1,KC,Fresher,500-1000
"LVN,GT,",TB,TB,"Mobile,BackEnd,FrontEnd",KV1,TT,Fresher,500-1000
"GT,,QLTG",PB,TB,Mobile,KV3,TT,Internship,1000-1500
"LVN,QLTG,",PB,NHO,Mobile,KV3,DV,Senior,>1500
"GT,GT,",PB,TB,Developer Option,KV1,KC,Internship,1000-1500
"LVN,,LVN",KPB,NHO,"Mobile,BackEnd,FrontEnd",KV1,KC,Fresher,500-1000
"LVN,LVN,QLTG",PB,TB,FrontEnd,KV3,TT,Internship,1000-1500
"TT,GT,QLTG",PB,NHO,"FrontEnd,Mobile",KV3,TT,Senior,>1500
"TT,QLTG,QLTG",TB,TB,Back-end,KV1,CB,Fresher,1000-1500
"GT,TT,",PB,NHO,Tester,KV1,TT,Fresher,1000-1500
",QLTG,QLTG",PB,TB,"BackEnd,Mobile",KV2,DV,Fresher,1000-1500
"TT,LVN,QLTG",PB,NHO,FrontEnd,KV3,TT,Senior,>1500
"LVN,TT,LVN",PB,NHO,FrontEnd,KV1,CB,Internship,1000-1500
"LVN,QLTG,LVN",TB,TB,Developer Option,KV2,DV,Junior,1000-1500
"LVN,TT,LVN",KPB,NHO,Developer Option,KV3,DV,Senior,1000-1500
"TT,,QLTG",PB,NHO,"BackEnd,FrontEnd",KV1,TT,Fresher,1000-1500
"TT,,TT",PB,TB,Mobile,KV3,DV,Senior,>1500
"QLTG,,QLTG",PB,NHO,"BackEnd,FrontEnd",KV3,DV,Fresher,1000-1500
"TT,LVN,LVN",PB,LON,Developer Option,KV2,DV,Internship,1000-1500
"QLTG,LVN,QLTG",PB,TB,Mobile,KV3,DV,Internship,1000-1500
"LVN,QLTG,",PB,NHO,Back-end,KV1,TT,Junior,>1500
"QLTG,TT,TT",PB,NHO,FrontEnd,KV2,CB,Fresher,1000-1500
"LVN,,",PB,NHO,"BackEnd,FrontEnd",KV2,DV,Junior,1000-1500
"LVN,,",TB,NHO,Mobile,KV3,DV,Internship,500-1000
"LVN,QLTG,GT",PB,TB,Tester,KV2,CB,Junior,1000-1500
"TT,,",PB,TB,Tester,KV2,CB,Fresher,1000-1500
"TT,TT,",PB,TB,"Mobile,BackEnd,FrontEnd",KV2,KC,Fresher,500-1000
"LVN,GT,LVN",TB,NHO,FrontEnd,KV3,CB,Internship,500-1000
",TT,",TB,NHO,Developer Option,KV1,CB,Junior,1000-1500
"GT,QLTG,GT",PB,LON,"Mobile,BackEnd,FrontEnd",KV1,DV,Senior,>1500
"LVN,QLTG,LVN",PB,TB,"BackEnd,Mobile",KV1,KC,Internship,1000-1500
"TT,,",PB,TB,Tester,KV3,CB,Internship,500-1000
"GT,QLTG,QLTG",TB,TB,Developer Option,KV3,TT,Fresher,500-1000
"LVN,,QLTG",PB,LON,"BackEnd,FrontEnd",KV3,TT,Junior,>1500
"TT,,GT",PB,NHO,FrontEnd,KV1,DV,Senior,>1500
"GT,TT,QLTG",PB,LON,"Mobile,BackEnd,FrontEnd",KV1,CB,Senior,>1500
"TT,GT,TT",PB,NHO,Developer Option,KV3,DV,Fresher,1000-1500
"TT,QLTG,TT",PB,TB,"FrontEnd,Mobile",KV3,DV,Fresher,1000-1500
"QLTG,,",PB,NHO,FrontEnd,KV2,CB,Internship,1000-1500
"LVN,QLTG,LVN",KPB,NHO,"FrontEnd,Mobile",KV2,CB,Senior,1000-1500
"LVN,LVN,LVN",PB,LON,FrontEnd,KV1,KC,Junior,1000-1500
"QLTG,GT,LVN",TB,NHO,"Mobile,BackEnd,FrontEnd",KV3,TT,Fresher,500-1000
"GT,,QLTG",TB,TB,Tester,KV1,KC,Internship,500-1000
"QLTG,GT,GT",PB,NHO,"BackEnd,Mobile",KV3,DV,Internship,1000-1500
",GT,QLTG",PB,NHO,Tester,KV2,CB,Junior,1000-1500
"TT,LVN,GT",TB,NHO,"BackEnd,Mobile",KV3,CB,Junior,500-1000
"TT,QLTG,TT",PB,TB,"FrontEnd,Mobile",KV3,DV,Junior,1000-1500
"GT,,QLTG",PB,NHO,"Mobile,BackEnd,FrontEnd",KV3,DV,Fresher,1000-1500
"QLTG,LVN,QLTG",KPB,TB,FrontEnd,KV1,CB,Internship,500-1000
",LVN,",PB,NHO,"Mobile,BackEnd,FrontEnd",KV1,CB,Fresher,1000-1500
"TT,GT,TT",PB,TB,Back-end,KV2,DV,Senior,>1500
",LVN,LVN",PB,TB,"FrontEnd,Mobile",KV2,KC,Junior,1000-1500
"LVN,QLTG,LVN",TB,NHO,Tester,KV2,DV,Senior,1000-1500
"QLTG,QLTG,",PB,NHO,Mobile,KV1,KC,Senior,1000-1500
",QLTG,GT",PB,NHO,"FrontEnd,Mobile",KV2,TT,Internship,1000-1500
"TT,QLTG,TT",KPB,NHO,"FrontEnd,Mobile",KV1,TT,Junior,1000-1500
"QLTG,QLTG,LVN",TB,NHO,Back-end,KV2,DV,Junior,1000-1500
"TT,GT,TT",PB,TB,"Mobile,BackEnd,FrontEnd",KV3,DV,Junior,1000-1500
"LVN,GT,QLTG",PB,NHO,"Mobile,BackEnd,FrontEnd",KV3,TT,Internship,1000-1500
"GT,GT,LVN",PB,TB,"BackEnd,Mobile",KV1,KC,Fresher,1000-1500
"QLTG,,TT",TB,NHO,"FrontEnd,Mobile",KV1,KC,Junior,500-1000
"QLTG,GT,GT",PB,NHO,"BackEnd,Mobile",KV3,DV,Junior,1000-1500
"LVN,LVN,QLTG",PB,NHO,Tester,KV3,KC,Senior,1000-1500
